label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
おこなう,,行なう,行う,,"[""recE569ZU4tA37EpN""]",行な$1,/おこな|行([いうえおわっ])/,「行なう」と表現し、「行う」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,"行い,行う,行え,行おう,行わない,行って,おこない,おこなう,おこなえ,おこなおう,おこなわない,おこなって","行ない,行なう,行なえ,行なおう,行なわない,行なって,行ない,行なう,行なえ,行なおう,行なわない,行なって","[""定義済""]",,rec185zxKtQArUznm,,true,,kero
おす,,"（ボタンを,メニューを）押す","クリックする, タップする",,"[""recVAeJr4Di3vQHeA""]",,,プロダクト内でユーザーにボタン押下を促す際は「押す」を使用する,押す,"クリックする, タップする","[""定義予定"",""定義不能""]",,recSw0NmKax89t0ng,,,,無理
おもな,,主な,おもな,,,主な,おもな,,おもな作業はhogeです,主な作業はhogeです,"[""定義済""]",,recRKD2EqZUfKXWjQ,true,true,,kawakichi
おもに,,主に,おもに,,,主に,おもに,,おもに労務担当者が使用します,主に労務担当者が使用します,"[""定義済""]",,recycDPrn5IJsxfyl,true,true,,kuny
および,,および,及び,"[""recWCPX1UhchVaFjO""]",,および,及び,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,及び,および,"[""定義済""]",,recLmYtBIbXpwg8ZJ,,true,,
かいぜん,,改善,カイゼン,,"[""recynRvLnjTngv5h0""]",改善,カイゼン,「改善」と漢字で表記し、「カイゼン」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,カイゼンしました,改善しました,"[""定義済""]",,recsqvuS3CYxoCPIU,,true,,
かきだし,,書き出し,エクスポート,,"[""rechkOJowITF3hkaX""]",書き出し,エクスポート,「エクスポート」ではなく、「書き出し」を使用する,書き出し,エクスポート,"[""定義予定"",""定義不能""]",,reclc0ZMahgi4vfpa,,,,影響でかそうなので保留
かげつ,true,か月,"ヶ月, ケ月, 箇月, 個月, ヵ月, カ月",,"[""rec1wuNfx5bfUqAxd""]",か月,/ヶ月|ケ月|箇月|個月|ヵ月|カ月/,「か所」「か月」と表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"給与明細が1ヶ月単位で発行されます,給与明細が1箇月単位で発行されます","給与明細が1か月単位で発行されます,給与明細が1か月単位で発行されます","[""定義済""]",,rect1QdTqfTZe0WRm,true,true,,snow
かしょ,true,か所,"ヶ所,ケ所,箇所,個所,ヵ所,カ所",,"[""rec1wuNfx5bfUqAxd""]",か所,/(?<![^\x01-\x7E])(ヶ|ケ|箇|個|ヵ|カ)所/,「か所」「か月」と表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#rec1wuNfx5bfUqAxd-0,"3ヶ所,3ケ所,3箇所,3個所,3ヵ所,3カ所","3か所,3か所,3か所,3か所,3か所,3か所","[""定義済""]",,rectxy0LrSOPnpmDs,true,true,,keroyama
かすたむますたー,true,カスタムマスター,"カスタムマスタ, カスタムマスターデータ",,"[""recOUKORjYkZyMeY6""]",カスタムマスター,/(カスタムマスターデータ|カスタムマスタ(?!ー))/,マスターデータの総称は「マスターデータ」、総称以外は「◯◯マスター」と表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"カスタムマスタ,カスタムマスターデータ,カスタムマスター","カスタムマスター,カスタムマスター,カスタムマスター","[""定義済""]",,recTMQAGxVPuTA0wz,,true,,
