label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
どうさかんきょう,true,動作環境,推奨環境,,"[""recrOBmlqFtzIUKDh""]",動作環境,推奨環境,"「動作環境」と表現し、「推奨環境」の使用は控える
https://smarthr.design/products/contents/idiomatic-usage/usage/#recrOBmlqFtzIUKDh-0",推奨環境,動作環境,"[""定義済""]",,recbT0uEN4cVLVThj,,true,,aguringo
とおり,,とおり,通り,"[""recWCPX1UhchVaFjO""]",,,,,,,"[""外部プラグインで定義済""]",,rectaSxsNgUdJxZXS,,,,
とき,,とき,時,"[""recWCPX1UhchVaFjO""]",,,,,,,"[""外部プラグインで定義済""]",,recdqcT5thhyFhQqF,,,,
とくいなげんご,true,得意な言語,"母語, 母国語",,"[""recYdKTei4hYuiFYX""]",,,,,,"[""定義不要""]",,recCIrk9LwoUirHnr,,,,
とも,,とも,共に,"[""recWCPX1UhchVaFjO""]",,ともに,/(?<!公)共に/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/#recWCPX1UhchVaFjO-0,"共にする,公共のために","ともにする,公共のために","[""定義済""]",,reclqUnFOVe1n75uS,true,true,,kuny
ともなう,true,伴う,ともなう,,,伴$1,/ともな([いうえおわっ])/,,"ともない,ともなう,ともなえ,ともなおう,ともなわない,ともなって","伴い,伴う,伴え,伴おう,伴わない,伴って","[""定義済""]",,recGwltCr9bOed7Y2,,true,,aguringo
どらっぐあんどどろっぷ,,ドラッグアンドドロップ,"ドラッグ＆ドロップ, ドラッグ・ドロップ",,,ドラッグアンドドロップ,"ドラッグ＆ドロップ,ドラッグ・ドロップ",,"ドラッグ＆ドロップ,ドラッグ・ドロップ","ドラッグアンドドロップ,ドラッグアンドドロップ","[""定義済""]",,rec0PR2CBjlabUsub,,true,,
とりけし,,取り消し,取消,,"[""recm8V38MkxhYrKNr""]",取り消し,取消,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,取消,取り消し,"[""定義済""]",,recH9Rc7GnNUYeyzF,,true,,
とりこみ,,取り込み,インポート,,"[""recmIiinydl9c2TVi""]",取り込み,インポート,「インポート」ではなく「取り込み」を使用する,取り込み,インポート,"[""定義予定"",""定義不能""]",,recB00Gi70BYWePay,,,,影響でかそうなので保留
どろっぷだうんりすと,true,ドロップダウンリスト,"プルダウン,プルダウンメニュー,プルダウンリスト,ドロップダウン,ドロップダウンメニュー",,"[""recNvOzAMwrpwYJiT""]",ドロップダウンリスト,/プルダウン(メニュー|リスト)|プルダウン|ドロップダウンメニュー|ドロップダウン(?!リスト)/,「ドロップダウンリスト」と表現し、「プルダウンメニュー」などの使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,"プルダウンから選ぶ,プルダウンリストから選ぶ,ドロップダウンメニューから選ぶ,プルダウンメニューから選ぶ,ドロップダウンから選ぶ","ドロップダウンリストから選ぶ,ドロップダウンリストから選ぶ,ドロップダウンリストから選ぶ,ドロップダウンリストから選ぶ,ドロップダウンリストから選ぶ","[""定義済""]",,recRO2ZZWQGtKK0pn,,true,,inaba
ない,,ない,無い,"[""recWCPX1UhchVaFjO""]",,な$1,/無(か|く|い|し|き|け)/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,"無かった場合,無くなる,無いとき,無し,無き,無ければ","なかった場合,なくなる,ないとき,なし,なき,なければ","[""定義予定""]",,recQPKprJV5HjefOE,,,,keroyama
なかで,,〜なかで,〜中で,"[""recWCPX1UhchVaFjO""]",,のなかで,の中で,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,文章の中で,文章のなかで,"[""定義済""]",,recWSJ20qh4PmdiJ5,,true,,
など,,など,等,"[""recWCPX1UhchVaFjO""]",,など$1,/(?<!同)等([をのが、])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,住所等を入力,住所などを入力,"[""定義済""]",,recidGmc8jEWvo9q7,,true,,
なにとぞ,,何卒,何とぞ,"[""recWCPX1UhchVaFjO""]",,何卒,何とぞ,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,何とぞ,何卒,"[""定義済""]",,recFeRLQKXg4SKdiG,,true,,
ならび,true,"並び順, 横並び, 縦並び","ならび順, 横ならび, 縦ならび",,,並$1,/なら([びぶべ])(?!に)/,,"横ならび,縦ならび,ならび順","横並び,縦並び,並び順","[""定義済""]",,recUCZgw1CjtfeF3Q,,true,,kuvanov
ならびに,,ならびに,並びに,"[""recWCPX1UhchVaFjO""]",,ならびに,/(?<![横縦])並びに/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,並びに,ならびに,"[""定義済""]",,rec3mUBumEaCo31EY,,true,,
ならべかえ,,並べ替え,並び替え,,,並べ替え,並び替え,,並び替え,並べ替え,"[""定義済""]",,recF6vPQLJ8V6O8Pe,,true,,
なんばー,,ナンバー,ナンバ,,"[""recKk3i3NODrXp6D3""]",ナンバー,/ナンバ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,ナンバ,ナンバー,"[""定義済""]",,recIeByRZ6HCcPFsj,,true,,
にゅうりょくひっす,,入力必須,必須入力,,"[""recUVMSOhVDbQjMMN""]",入力必須,必須入力,「入力必須」と表現し、「必須入力」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/#recUVMSOhVDbQjMMN-0,"Aは必須入力です,必須入力項目","Aは入力必須です,入力必須項目","[""定義済""]",,recpl3LZi4dEkgc02,,true,,mad
のうえ,,〜のうえ,〜の上,"[""recWCPX1UhchVaFjO""]",,,,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,,,"[""定義不能""]",,recgXJJMbzyGXyN60,,,,
ばいと,,バイト,"B, byte",,"[""recmk5vIbS65cWjA6""]",,,ファイルサイズは基本的に英字2文字で表記する,バイト,"B, byte","[""定義不能""]",,rectMG8AGiEURLJtM,,,,無理
はじめて,,はじめて,"初めて, 始めて","[""recWCPX1UhchVaFjO""]",,はじめて,"初めて,始めて",平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,"初めて,始めて","はじめて,はじめて","[""定義済""]",,recV5D7JqZgwshZZX,,true,,
ぱそこん,true,パソコン,PC,,"[""recw4wmIL3QqcKmoc""]",パソコン,/(?<![a-zA-Z])PC(?![a-zA-Z])/,「パソコン」と表記し、「PC」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/#recw4wmIL3QqcKmoc-0,"PCを使用します,HOGEPCFOO","パソコンを使用します,HOGEPCFOO","[""定義済""]",,recTeETnZwytw9WUF,true,true,,kawakichi
ひとつ,,1つ,"一つ, ひとつ",,"[""rec4b3ku3T09ggRcB""]",1つ,"一つ,ひとつ",数字は半角の算用数字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"一つ,ひとつ","1つ,1つ","[""定義済""]",,recY1HCXQu2AcTLeH,,true,,
ひとり,,1人,"一人, ひとり",,"[""rec4b3ku3T09ggRcB""]",1人,/(?<!一人)(一人|ひとり)(?!ひとり|称|親)/,数字は半角の算用数字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"一人を選択,ひとりを選択","1人を選択,1人を選択","[""定義済""]",,rec7E95d9OpH2kuT7,true,true,,snow
ひながた,true,ひな形,雛形,"[""recWCPX1UhchVaFjO""]",,ひな形,雛形,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,雛形,ひな形,"[""定義済""]",,recilyklTydHWZXHz,,true,,
ひもづけ,,紐づけ,紐付け,,"[""rec5PdPTnbdwUVyDO""]",紐づ$1,/紐付([いかきけく])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,"紐付いて,紐付かない,紐付きをhoge,紐付けて,紐付くhoge","紐づいて,紐づかない,紐づきをhoge,紐づけて,紐づくhoge","[""定義済""]",,recP3ooNXfzEv5aTq,,true,,
ひらく,true,（リンクを）開く,"クリックする,タップする",,"[""recICAHH7k4x44Dmz""]",,,,,,"[""定義不能""]",,recR5RsTNs2i3SbS8,,,,「押す」パターンとの区別不能
ひらく,true,（ドロップダウンリストを）開く/閉じる,展開する,,,,,,,,"[""定義不能""]",,recBHFFGOg5toDz02,,,,
ふぁいる,,ZIPファイル,zipファイル,,"[""rec9D1UfNQQFTzlZG""]",ZIPファイル,zipファイル,「◯◯ファイル」の◯◯の部分は大文字で表記し、拡張子は省略する https://smarthr.design/products/contents/idiomatic-usage/usage/,zipファイル,ZIPファイル,"[""定義済""]",,recqUooQ2b1ZVFT1e,,true,,
ふぁいる,,PDFファイル,pdfファイル,,"[""rec9D1UfNQQFTzlZG""]",PDFファイル,pdfファイル,「◯◯ファイル」の◯◯の部分は大文字で表記し、拡張子は省略する https://smarthr.design/products/contents/idiomatic-usage/usage/,pdfファイル,PDFファイル,"[""定義済""]",,recx3mhTKTZwXTt6I,,true,,
ふぁいる,,CSVファイル,csvファイル,,"[""rec9D1UfNQQFTzlZG""]",CSVファイル,csvファイル,「◯◯ファイル」の◯◯の部分は大文字で表記し、拡張子は省略する https://smarthr.design/products/contents/idiomatic-usage/usage/,csvファイル,CSVファイル,"[""定義済""]",,recyA0PZmK4cQOkLb,,true,,
ふぃるたー,,フィルター,フィルタ,,"[""recKk3i3NODrXp6D3""]",フィルター,/フィルタ(?!(ー|リング))/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,"フィルタ,フィルタリング","フィルター,フィルタリング","[""定義済""]",,recvClJuyoeCn6qKd,,true,,
ふぉるだ,,フォルダ,フォルダー,,"[""recKk3i3NODrXp6D3""]",フォルダ,フォルダー,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,フォルダー,フォルダ,"[""定義済""]",,recbiCoGch7cmxY8e,,true,,
ふくせい,,複製,コピー,,"[""recVdD5DujIvNuR8G""]",複製,/コピー(?![&＆ア・])/,「複製」と表現し、「コピー」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,"コピー,コピーアンドペースト","複製,コピーアンドペースト","[""定義不能""]",,recfPDtZFOwl1kzJi,,,,「学生証のコピー」などが存在するため定義不能
ふたつ,,2つ,"二つ, ふたつ",,"[""rec4b3ku3T09ggRcB""]",2つ,"二つ,ふたつ",数字は半角の算用数字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"二つ,ふたつ","2つ,2つ","[""定義済""]",,recu0pTxCASSAr9Mq,,true,,
ふったー,,フッター,フッタ,,"[""recKk3i3NODrXp6D3""]",フッター,/フッタ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,フッタ,フッター,"[""定義済""]",,recBQtydyWQK8dOdt,,true,,
ぷらいばしー,,プライバシー,"プライバシィ, プライバシ",,"[""recKk3i3NODrXp6D3""]",プライバシー,/プライバシィ?(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/writing/idiomatic-usage/usage/,"プライバシ,プライバシィ","プライバシー,プライバシー","[""定義済""]",,recGrIay6YHajjWCz,,true,,
ぶらうざ,,ブラウザ,ブラウザー,,"[""recKk3i3NODrXp6D3""]",ブラウザ,/(?<!ウェブ|Web|web|WEB)ブラウザー/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/writing/idiomatic-usage/usage/,ブラウザー,ブラウザ,"[""定義済""]",,reccpHREIzwGKS6IH,,true,,
ぶらうざ,,ブラウザ,"ウェブブラウザ,Webブラウザ,webブラウザ",,"[""rec8ZIzDZQ47CFM5l""]",ブラウザ,/(ウェブ|Web|web|WEB)ブラウザ/,「ウェブ」はカタカナで表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"ウェブブラウザ,Webブラウザ,webブラウザ","ブラウザ,ブラウザ,ブラウザ","[""定義済""]",,recocYSrUSNPK0JBu,,true,,
ふりこみ,,振り込み,振込,,"[""recm8V38MkxhYrKNr""]",振り込み,/(?<![給与|給付金])振込(?!口座)/,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,"振込,給与振込口座,給付金振込","振り込み,給与振込口座,給付金振込","[""定義済""]",,recDPYkL59rbuzkHV,,true,,
ぷりんたー,,プリンター,プリンタ,,"[""recKk3i3NODrXp6D3""]",プリンター,/プリンタ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/writing/idiomatic-usage/usage/,プリンタ,プリンター,"[""定義済""]",,recWflu0cYa1o3Yup,,true,,
へっだー,,ヘッダー,ヘッダ,,"[""recKk3i3NODrXp6D3""]",ヘッダー,/ヘッダ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,ヘッダ,ヘッダー,"[""定義済""]",,recuUVsM0wNILrlFm,,true,,
ほーむ,true,ホーム,トップ,,"[""recYNynP9kXNRdD0T""]",,,,,,"[""定義予定"",""定義不能""]",,rec1v1hVhRRe8dWpj,,,,むずそうなので保留
ほか,,ほか,他,"[""recWCPX1UhchVaFjO""]",,,,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,,,"[""定義予定"",""定義不能""]",,recer9basc8aRINXw,,,,むずそうなので保留
ほぐす,true,ほぐす,解す,"[""reccmFynVx29ydJEd""]",,ほぐ$1,/(?<![正分理読])解([さしすせそ])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,"解さない,解して,解す,解せば,解そう,正解,分解,理解,読解","ほぐさない,ほぐして,ほぐす,ほぐせば,ほぐそう,正解,分解,理解,読解","[""定義済""]",,recKI6YK6DGVaaDu2,,true,,ibulog
ぽりしー,,ポリシー,"ポリシィ, ポリシ",,"[""recKk3i3NODrXp6D3""]",ポリシー,/ポリシィ?(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/writing/idiomatic-usage/usage/,"ポリシィ,ポリシ","ポリシー,ポリシー","[""定義済""]",,recSHHvGvBUs2G0jp,,true,,
まず,,まず,先ず,"[""recWCPX1UhchVaFjO""]",,まず,先ず,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,先ず,まず,"[""定義済"",""外部プラグインで定義済""]",,reccSKbZBLsg87QGj,,true,,
ますたーでーた,,マスターデータ,"マスタ,マスター",,"[""recOUKORjYkZyMeY6""]",マスターデータ,/(?<!部署|役職|］|スキル|資格|研修|カスタム|システム標準|SmartHR ?|ドメイン)マスタ(?!ー)(データ)?/,マスターデータの総称は「マスターデータ」、総称以外は「◯◯マスター」と表記するhttps://smarthr.design/products/contents/idiomatic-usage/usage/,"マスタ,マスタデータ,部署マスター,SmartHRマスター","マスターデータ,マスターデータ,部署マスター,SmartHRマスター","[""定義済""]",,recVrsjw28KxrB6T7,,true,,
また,,また,又,"[""recWCPX1UhchVaFjO""]",,また,又,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,A又はB,AまたはB,"[""定義予定""]",,recPvwj7ttyCwSzJr,,,,inaba
まで,,まで,迄,"[""recWCPX1UhchVaFjO""]",,まで,迄,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,迄,まで,"[""定義済""]",,rec6EX74Yjwgbkd2S,,true,,
まねーじゃー,,マネージャー,マネージャ,,"[""recKk3i3NODrXp6D3""]",マネージャー,/マネージャ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,マネージャ,マネージャー,"[""定義済""]",,recYgGO3oR4yDtq7z,,true,,
みつもり,,見積もり,見積り,,"[""recm8V38MkxhYrKNr""]",見積もり,見積り,送りがなを付けて表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,見積り,見積もり,"[""定義済""]",,reciXtZYeP91wNK9V,,true,,
めがばいと,,MB,メガバイト,,"[""recmk5vIbS65cWjA6""]",MB,メガバイト,ファイルサイズは基本的に英字2文字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recmk5vIbS65cWjA6-0,1メガバイト,1MB,"[""定義済""]",,recV6BngITcjP7GkY,true,true,,kawakichi
めんばー,,メンバー,メンバ,,"[""recKk3i3NODrXp6D3""]",メンバー,/メンバ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,メンバ,メンバー,"[""定義済""]",,rectHyeemRASLTu8l,,true,,
もって,,もって,以て,"[""recWCPX1UhchVaFjO""]",,もって,以て,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,以て,もって,"[""定義済""]",,recmOeKA5UuOgKwMe,,true,,
もっとも,,もっとも,尤も,"[""recWCPX1UhchVaFjO""]",,もっとも,尤も,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,尤も,もっとも,"[""定義済""]",,recRK96xftcWrsb6a,,true,,
もっとも,true,最も,もっとも,,,最も,もっとも,「一番」の意味で使用するときは「最も」とする,"もっとも古い履歴,最も多い部署","最も古い履歴,最も多い部署","[""定義予定"",""定義不能""]",,recy0MtDxYV7RR73w,,,,むずそうなので保留
もと,true,"元に戻す, 元へ戻す","もとに戻す, もとへ戻す",,"[""recyoJ3d3USyzSqd0""]",元$1戻,/もと([にへ])戻/,前の工程に戻る場合の「元」は漢字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,もとに戻す,元に戻す,"[""定義済""]",,rec9STuXnkN7U9MFH,,true,,
ゆーざー,,ユーザー,ユーザ,,"[""recKk3i3NODrXp6D3""]",ユーザー,/ユーザ(?!(ー|ビリティ))/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,"ユーザ,ユーザビリティ","ユーザー,ユーザビリティ","[""定義済""]",,recwsTqQtaA7bTBHk,,true,,
ゆーざーさま,,ユーザーさま,ユーザー様,"[""recWCPX1UhchVaFjO""]","[""recmtqX0vFmEftHk2""]",ユーザーさま,ユーザー様,お客さま、管理者さま、担当者さま、ユーザーさまを使い分ける,ユーザーさま,ユーザー様,"[""別の行で定義""]",,recCi4VjELpT8kL49,,,,
ゆーざびりてぃ,true,ユーザビリティ,"ユーザビリティー,ユーザービリティ",,"[""recKk3i3NODrXp6D3""]",ユーザビリティ,"ユーザビリティー,ユーザービリティ",‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/writing/idiomatic-usage/usage/,"ユーザービリティ,ユーザビリティー","ユーザビリティ,ユーザビリティ","[""定義済""]",,recpCcb8vvDrDxErW,,true,,
よろしく,,よろしく,宜しく,"[""recWCPX1UhchVaFjO""]",,よろしく,宜しく,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,宜しく,よろしく,"[""定義済""]",,rec0C4E9IIyskr3oy,,true,,
れいやー,,レイヤー,レイヤ,,"[""recKk3i3NODrXp6D3""]",レイヤー,/(?<!プ)レイヤ(?!ー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,"レイヤ,Flashプレイヤー","レイヤー,Flashプレイヤー","[""定義済""]",,recJnVtvJs1zuFoCT,,true,,
れびゅあー,true,レビュアー,"レビュア,レビュワー",,"[""recKk3i3NODrXp6D3""]",レビュアー,/レビュ(ア(?!ー)|ワー)/,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,"レビュア,レビュワー","レビュアー,レビュアー","[""定義済""]",,rec4DWnAItji4CXDj,,true,,inaba
わかる,,わかる,"分かる, 判る, 解る","[""recWCPX1UhchVaFjO""]",,わか$2,/((?<![自区])分か(?!れる|れて|れた)|判|解)([らりるれっ])/,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/writing/idiomatic-usage/usage/,"分からない,分かりやすい,分かる,分かれば,分かった,解らない,解りやすい,解る,解れば,解った,判らない,判りやすい,判る,判れば,判った","わからない,わかりやすい,わかる,わかれば,わかった,わからない,わかりやすい,わかる,わかれば,わかった,わからない,わかりやすい,わかる,わかれば,わかった","[""定義済""]",,rec8TrLr9jRyNDwqW,,true,,inaba
をもとに,true,〜をもとに,〜を基に,,"[""recwriblj4bLsRwiR""]",をもとに,を基に,拠り所や根拠を示す「もと」は平仮名で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recwriblj4bLsRwiR-0,〜を基に入力する,〜をもとに入力する,"[""定義済""]",,recjsSGmEaT2tj5Xq,true,true,,kawakichi
